Time,hour,minute,second,X-axis (g),Y-axis (g),Z-axis (g),Locomotion_Chloe,Feeding_Chloe,Locomotion_Steven,Feeding_Steven,IteragreementLocom,IteragreementFeeding
15:35:25,15,35,25,0.113281,0.933594,-0.464844,Standing,other,Standing,other,StandingStanding,otherother
15:35:26,15,35,26,0.324219,0.78125,-0.488281,Standing,other,Standing,other,StandingStanding,otherother
15:35:27,15,35,27,0.367188,0.792969,-0.445313,Standing,other,Standing,other,StandingStanding,otherother
15:35:28,15,35,28,0.535156,0.707031,0.164063,Standing,other,Standing,other,StandingStanding,otherother
15:35:29,15,35,29,0.503906,0.664063,0.429688,Standing,other,Standing,other,StandingStanding,otherother
15:35:30,15,35,30,0.378906,0.621094,0.488281,Standing,other,Standing,other,StandingStanding,otherother
15:35:31,15,35,31,0.402344,0.523438,0.605469,Standing,other,Standing,other,StandingStanding,otherother
15:35:32,15,35,32,0.589844,0.5625,0.394531,Standing,other,Standing,other,StandingStanding,otherother
15:35:33,15,35,33,0.375,0.785156,0.230469,Standing,other,Standing,other,StandingStanding,otherother
15:35:34,15,35,34,0.011719,1.050781,-0.011719,Standing,other,Standing,other,StandingStanding,otherother
15:35:35,15,35,35,0.496094,0.699219,0.214844,Standing,other,Standing,other,StandingStanding,otherother
15:35:36,15,35,36,0.644531,0.507813,0.292969,Standing,other,Standing,other,StandingStanding,otherother
15:35:37,15,35,37,0.851563,0.558594,0.679688,Standing,other,Standing,other,StandingStanding,otherother
15:35:38,15,35,38,0.695313,0.4375,0.492188,Standing,other,Standing,other,StandingStanding,otherother
15:35:39,15,35,39,0.765625,0.667969,0.839844,Standing,other,Standing,other,StandingStanding,otherother
15:35:40,15,35,40,-0.101563,1.132813,-0.820313,Standing,other,Standing,other,StandingStanding,otherother
15:35:41,15,35,41,0.050781,1.125,-0.375,Standing,other,Standing,other,StandingStanding,otherother
15:35:42,15,35,42,-0.015625,0.839844,-0.5,Standing,other,Standing,other,StandingStanding,otherother
15:35:43,15,35,43,0.214844,1.089844,-0.125,Standing,other,Standing,other,StandingStanding,otherother
15:35:44,15,35,44,0.191406,0.839844,-0.5,Standing,other,Standing,other,StandingStanding,otherother
15:35:45,15,35,45,0.164063,0.75,-0.476563,Standing,other,Standing,other,StandingStanding,otherother
15:35:46,15,35,46,0.789063,0.492188,0.039063,Standing,other,Standing,other,StandingStanding,otherother
15:35:47,15,35,47,0.15625,0.242188,0.078125,Standing,other,Standing,other,StandingStanding,otherother
15:35:48,15,35,48,1.125,0.820313,-0.011719,Standing,other,Standing,other,StandingStanding,otherother
15:35:49,15,35,49,0.804688,0.433594,0.304688,Standing,other,Standing,other,StandingStanding,otherother
15:35:50,15,35,50,0.664063,0.613281,0.089844,Standing,other,Standing,other,StandingStanding,otherother
15:35:51,15,35,51,0.671875,0.65625,0.09375,Standing,other,Standing,other,StandingStanding,otherother
15:35:52,15,35,52,0.617188,0.640625,0.179688,Standing,other,Standing,other,StandingStanding,otherother
15:35:53,15,35,53,0.445313,0.707031,0.007813,Standing,other,Standing,other,StandingStanding,otherother
15:35:54,15,35,54,-0.011719,0.769531,-0.523438,Standing,other,Standing,other,StandingStanding,otherother
15:35:55,15,35,55,0.035156,0.695313,-0.65625,Standing,other,Standing,other,StandingStanding,otherother
15:35:56,15,35,56,-0.003906,0.808594,-0.507813,Walking,other,Walking,other,WalkingWalking,otherother
15:35:57,15,35,57,0.015625,0.597656,-0.496094,Walking,other,Walking,other,WalkingWalking,otherother
15:35:58,15,35,58,0.457031,0.941406,-0.394531,Walking,other,Walking,other,WalkingWalking,otherother
15:35:59,15,35,59,0.164063,0.78125,0.003906,Walking,other,Walking,other,WalkingWalking,otherother
15:36:00,15,36,0,0.789063,0.589844,0.132813,Walking,other,Walking,other,WalkingWalking,otherother
15:36:01,15,36,1,0.714844,0.125,1.203125,Walking,other,Walking,other,WalkingWalking,otherother
15:36:02,15,36,2,0.707031,0.832031,0.695313,Walking,other,Walking,other,WalkingWalking,otherother
15:36:03,15,36,3,0.492188,0.46875,-0.058594,Walking,other,Walking,other,WalkingWalking,otherother
15:36:04,15,36,4,0.386719,0.824219,0.039063,Walking,other,Walking,other,WalkingWalking,otherother
15:36:05,15,36,5,0.386719,0.824219,-0.21875,Walking,other,Walking,other,WalkingWalking,otherother
15:36:06,15,36,6,0.574219,0.9375,-0.050781,Walking,other,Walking,other,WalkingWalking,otherother
15:36:07,15,36,7,0.65625,0.605469,0.082031,Walking,other,Walking,other,WalkingWalking,otherother
15:36:08,15,36,8,0.617188,0.546875,-0.53125,Walking,other,Walking,other,WalkingWalking,otherother
15:36:09,15,36,9,0.816406,0.574219,0.515625,Walking,other,Walking,other,WalkingWalking,otherother
15:36:10,15,36,10,0.835938,0.523438,0.6875,Walking,other,Walking,other,WalkingWalking,otherother
15:36:11,15,36,11,0.929688,0.847656,0.105469,Walking,other,Walking,other,WalkingWalking,otherother
15:36:12,15,36,12,0.140625,0.933594,0.671875,Walking,other,Walking,other,WalkingWalking,otherother
15:36:13,15,36,13,0.878906,0.933594,0.121094,Walking,other,Walking,other,WalkingWalking,otherother
15:36:14,15,36,14,0.449219,0.496094,0.257813,Walking,other,Walking,other,WalkingWalking,otherother
15:36:15,15,36,15,0.460938,0.59375,0.140625,Walking,other,Walking,other,WalkingWalking,otherother
15:36:16,15,36,16,0.851563,0.789063,0.105469,Walking,other,Walking,other,WalkingWalking,otherother
15:36:17,15,36,17,0.882813,0.523438,0.570313,Walking,other,Walking,other,WalkingWalking,otherother
15:36:18,15,36,18,0.882813,0.460938,0.222656,Walking,other,Walking,other,WalkingWalking,otherother
15:36:19,15,36,19,0.839844,0.519531,0.261719,Walking,other,Walking,other,WalkingWalking,otherother
15:36:20,15,36,20,0.535156,0.644531,0.871094,Walking,other,Walking,other,WalkingWalking,otherother
15:36:21,15,36,21,0.390625,0.332031,0.433594,Walking,other,Walking,other,WalkingWalking,otherother
15:36:22,15,36,22,0.742188,0.507813,0.164063,Standing,other,Standing,other,StandingStanding,otherother
15:36:23,15,36,23,0.472656,0.992188,-0.09375,Standing,other,Standing,other,StandingStanding,otherother
15:36:24,15,36,24,0.511719,0.796875,0.003906,Standing,other,Standing,other,StandingStanding,otherother
15:36:25,15,36,25,0.140625,0.59375,-0.207031,Standing,other,Standing,other,StandingStanding,otherother
15:36:26,15,36,26,0.066406,1.820313,0.300781,Walking,other,Walking,other,WalkingWalking,otherother
15:36:27,15,36,27,-1.679688,1.871094,-0.4375,Walking,other,Walking,other,WalkingWalking,otherother
